Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"NES/Famicom","Games","Owned","Kung-Fu Heroes","United States of America","Official","Culture Brain Inc.","Culture Brain Inc.","Action","Jan 20, 2022","Loose","9.27","45.00","341.38","9.27","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Little Nemo: The Dream Master","United States of America","Official","Capcom USA, Inc.","Capcom","Platformer","Jan 20, 2022","Loose","15.09","79.06","770.24","15.09","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Marble Madness","United States of America","Official","Milton Bradley Co.","Rare, Ltd.","Puzzle","Mar 1, 2020","Loose","11.45","29.99","252.52","11.45","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Mega Man","United States of America","Official","Capcom USA, Inc.","Capcom","Action, Platformer","Jan 26, 2021","Loose","91.73","519.13","2077.00","91.73","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Mega Man 2","United States of America","Official","Capcom USA, Inc.","Capcom","Action, Platformer","Sep 21, 2020","Loose","31.46","142.75","1913.58","31.46","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Metal Gear","United States of America","Official","Ultra Games","Konami","Action, Adventure, Stealth","Jan 4, 2022","Loose","15.13","95.19","543.01","15.13","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Metroid","United States of America","Official","Nintendo of America, Inc.","Intelligent Systems Co., Ltd., Nintendo R&D1","Action, Adventure, Platformer","Mar 1, 2020","Loose","21.60","165.08","308.63","21.60","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Metroid","United States of America","Official","Nintendo of America, Inc.","Intelligent Systems Co., Ltd., Nintendo R&D1","Action, Adventure, Platformer","Oct 15, 2025","CIB","21.60","165.08","308.63","165.08","-1.0","1","1","1","","","0"
"NES/Famicom","Games","Owned","Mike Tyson's Punch-Out!!","United States of America","Official","Nintendo of America, Inc.","Nintendo R&D3","Fighting, Sports","Mar 1, 2020","CIB","39.02","185.85","1562.15","185.85","-1.0","?","?","?","","","0"
"NES/Famicom","Controllers","Owned","NES Advantage Controller","United States of America","Official","Nintendo","Asciiware","Missing Field","Mar 2, 2020","Loose","20.98","55.50","98.89","20.98","-1.0","?","?","?","","","0"
"NES/Famicom","Controllers","Owned","NES Max Controller","United States of America","Official","Nintendo","Missing Field","Missing Field","Mar 2, 2020","Loose","18.85","49.01","109.04","18.85","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Ninja Gaiden","United States of America","Official","Tecmo","Tecmo","Action, Platformer","Jan 2, 2021","Loose","14.99","98.92","1381.57","14.99","-1.0","?","?","?","","","0"
"NES/Famicom","Systems","Owned","Nintendo NES Console","United States of America","Official","Nintendo","Nintendo","Missing Field","Mar 2, 2020","Loose","91.04","201.37","962.50","91.04","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Paperboy","United States of America","Official","Mindscape, Inc.","Tengen","Action","Jul 7, 2020","CIB","16.23","59.99","1247.00","59.99","35.00","?","?","?","","","0"
"NES/Famicom","Games","Owned","Pinball","United States of America","Official","Nintendo","HAL Laboratory, Nintendo R&D2","Action","Mar 1, 2020","Loose","8.72","29.99","760.00","8.72","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Pinball","United States of America","Official","Nintendo","HAL Laboratory, Nintendo R&D2","Action","May 14, 2021","CIB","8.72","29.99","760.00","29.99","57.00","?","?","?","","","0"
"NES/Famicom","Games","Owned","Pipe Dream","United States of America","Official","Bullet-Proof Software, Inc.","LucasArts Entertainment Company LLC","Puzzle","Jan 4, 2022","Loose","11.28","30.00","70.76","11.28","-1.0","?","?","?","","","0"
"NES/Famicom","Controllers","Owned","Power Glove","United States of America","Official","Mattel","Missing Field","Missing Field","Mar 1, 2020","Loose","129.00","249.97","754.36","129.00","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Princess Tomato in the Salad Kingdom","United States of America","Official","Hudson Entertainment, Inc.","Hudson Soft","Adventure","Mar 1, 2020","CIB+","182.49","432.02","1275.00","432.02","175.00","?","?","?","","","0"
"NES/Famicom","Games","Owned","Pro Wrestling","United States of America","Official","Nintendo","Nintendo R&D3","Fighting, Sports","Sep 7, 2020","Loose","8.50","65.79","402.75","8.50","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Q*bert","United States of America","Official","Ultra Games","Konami","Platformer","Jan 4, 2022","Loose","12.64","34.97","171.50","12.64","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","R.B.I. Baseball [Unlicensed Version]","United States of America","Unlicensed","Tengen","Atari Games","Sports","Mar 1, 2020","Loose","8.57","24.55","308.72","8.57","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","R.C. Pro-Am","United States of America","Official","Nintendo of America, Inc.","Rare, Ltd.","Action, Racing","Mar 1, 2020","Loose","9.99","35.00","377.88","9.99","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Rad Racer","United States of America","Official","Nintendo of America, Inc.","Squaresoft","Racing","Mar 1, 2020","Loose","9.24","52.35","362.77","9.24","-1.0","?","?","?","","","0"
